SPECIES,SCIENTIFIC_NAME,TAXONNAME,OLDTAXONNAME,RANK,GENUS,FAMILY,COMMONNAME,COMMONFAMILY,COMMONFAMILYALL,CRYPTIC,LMAX,LW_A,LW_B,LENGTH_CONVERSION_FACTOR,LENTYP,SLTLRAT,FLTLRAT,TROPHIC,TROPHIC_DEF,TROPHIC_MONREP,SOURCE
BAPO,Balistes polylepis,Balistes polylepis,NA,Species,Balistes,Balistidae,Finescale Triggerfish,Triggerfish,Triggerfish,NA,76,0.019,3.078,0.93,FL,NA,0.93,MI,Mobile invertivore,SECONDARY,Kulbicki Balistoides spp.
TRIG,Balistidae,Balistidae,NA,Family,Balistidae,Balistidae,Balistidae,Triggerfish,Triggerfish,NA,75,0.019,3.07824,1,FL,NA,1,MI,Mobile invertivore,SECONDARY,Kulbicki 2005
BACO,Balistoides conspicillum,Balistoides conspicillum,NA,Species,Balistoides,Balistidae,Clown Triggerfish,Triggerfish,Triggerfish,NA,50,0.0058,3.554,1,TL,1,NA,MI,Mobile invertivore,SECONDARY,FB value for BAUN
BASP,Balistoides sp.,Balistoides sp,NA,Genus,Balistoides,Balistidae,Balistoides sp.,Triggerfish,Triggerfish,NA,61,0.019,3.07824,1,FL,NA,1,MI,Mobile invertivore,SECONDARY,Kulbicki 2005
BAVI,Balistoides viridescens,Balistoides viridescens,NA,Species,Balistoides,Balistidae,Titan Triggerfish,Triggerfish,Triggerfish,NA,75,0.02442,3.01828,1,FL,1,1,MI,Mobile invertivore,SECONDARY,Kulbicki 2005
BALA,Bathytoshia lata,Bathytoshia lata,Dasyatis lata,Species,Bathytoshia,Dasyatidae,Broad Stingray,Stingray,Stingray,NA,100,0.00937,3.35249,1,WD,1,1,MI,Mobile invertivore,SECONDARY,NA
NEED,Belonidae,Belonidae,NA,Family,Belonidae,Belonidae,Belonidae,Rare_Families,Needlefish,NA,100,0.00075,3.20315,0.96,FL,NA,0.96,Pisc,Piscivore,PISCIVORE,Kulbicki 2005
BECH,Belonoperca chabanaudi,Belonoperca chabanaudi,NA,Species,Belonoperca,Serranidae,Arrowhead Soapfish,Grouper,Grouper,NA,15,0.0134,3.031,1,FL,NA,1,MI,Mobile invertivore,SECONDARY,Kulbicki Serranid mean
BHFA,Bhanotia fasciolata,Bhanotia fasciolata,NA,Species,Bhanotia,Syngnathidae,Corrugated Pipefish,Rare_Families,Pipefishes and seahorses,Y,9,4.00E-04,4.12011,1,FL,NA,NA,Pk,Planktivore,PLANKTIVORE,Kublicki for Hippocampus spp.
BLCH,Blenniella chrysospilos,Blenniella chrysospilos,NA,Species,Blenniella,Blenniidae,Red-Spotted Blenny,Rare_Families,Blenny,Y,14,0.0078,3,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,FB
BLEN,Blenniidae,Blenniidae,NA,Family,Blenniidae,Blenniidae,Blenniidae,Rare_Families,Blenny,Y,16.6,0.00218,3.90064,1,FL,NA,1,Pk,Planktivore,PLANKTIVORE,Kulbicki 2005
BOAL,Bodianus albotaeniatus,Bodianus albotaeniatus,NA,Species,Bodianus,Labridae,Hawaiian Hogfish,Wrasse,Wrasse,NA,55,0.01202,3.05,1,TL,1,NA,MI,Mobile invertivore,SECONDARY,NA
BOAN,Bodianus anthioides,Bodianus anthioides,NA,Species,Bodianus,Labridae,Lyretail Hogfish,Wrasse,Wrasse,NA,21,0.0201,2.9992,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,FB mean for genus
BOAX,Bodianus axillaris,Bodianus axillaris,NA,Species,Bodianus,Labridae,Axilspot Hogfish,Wrasse,Wrasse,NA,20,0.0201,2.9992,1,TL,1,NA,MI,Mobile invertivore,SECONDARY,FB mean for genus
BOBI,Bodianus bilunulatus,Bodianus bilunulatus,NA,Species,Bodianus,Labridae,Tarry Hogfish,Wrasse,Wrasse,NA,55,0.0146,3,1,TL,1,NA,MI,Mobile invertivore,SECONDARY,NA
BOBM,Bodianus bimaculatus,Bodianus bimaculatus,NA,Species,Bodianus,Labridae,Twospot Hogfish,Wrasse,Wrasse,NA,10,0.0108,3.173,1,FL,NA,1,MI,Mobile invertivore,SECONDARY,Kulbicki Bodianus mean
BODI,Bodianus diana,Bodianus diana,NA,Species,Bodianus,Labridae,Diana's Hogfish,Wrasse,Wrasse,NA,25,0.0201,2.9992,1,TL,1,NA,MI,Mobile invertivore,SECONDARY,FB mean for genus
BODY,Bodianus dyctynna,Bodianus dyctynna,NA,Species,Bodianus,Labridae,Redfin Hogfish,Wrasse,Wrasse,NA,14,0.0275,2.736,1,FL,NA,NA,MI,Mobile invertivore,SECONDARY,Kulbicki for Halichoeres trimaculatus
BOLO,Bodianus loxozonus,Bodianus loxozonus,NA,Species,Bodianus,Labridae,Blackfin Hogfish,Wrasse,Wrasse,NA,40,0.0201,2.9992,1,TL,1,NA,MI,Mobile invertivore,SECONDARY,FB mean for genus
BOME,Bodianus mesothorax,Bodianus mesothorax,NA,Species,Bodianus,Labridae,Splitlevel Hogfish,Wrasse,Wrasse,NA,19,0.0201,2.9992,1,TL,1,NA,MI,Mobile invertivore,SECONDARY,FB mean for genus
BOPR,Bodianus prognathus,Bodianus prognathus,NA,Species,Bodianus,Labridae,Longnose Hogfish,Wrasse,Wrasse,NA,20,0.0108,3.173,1,FL,1,1,MI,Mobile invertivore,SECONDARY,Kulbicki Bodianus mean
BOSA,Bodianus sanguineus,Bodianus sanguineus,NA,Species,Bodianus,Labridae,Neon Hogfish,Wrasse,Wrasse,NA,23,0.0201,2.9992,1,FL,NA,NA,Om,Omnivore,SECONDARY,NA
BOMU,Bolbometopon muricatum,Bolbometopon muricatum,NA,Species,Bolbometopon,Scaridae,Green Humphead Parrotfish,Parrotfish,Parrotfish,NA,130,0.0183,3.0421,1,TL,1,NA,Cor,Corallivore,SECONDARY,FB mean for family
BOTH,Bothidae,Bothidae,NA,Family,Bothidae,Bothidae,Bothidae,Rare_Families,Flounder,Y,20.5,0.00721,3.21275,1,FL,NA,1,MI,Mobile invertivore,SECONDARY,Kulbicki 2005
BOMA,Bothus mancus,Bothus mancus,NA,Species,Bothus,Bothidae,Flowery Flounder,Rare_Families,Flounder,Y,45,0.00981,3.189,1,TL,1,NA,MI,Mobile invertivore,SECONDARY,"FB value for B. lunulatus, an Atlantic/Carib reef sp that reaches sim length"
BRMU,Brotula multibarbata,Brotula multibarbata,NA,Species,Brotula,Ophidiidae,Goatsbeard Brotula,Rare_Families,Cusk Eel,Y,100,9.00E-04,4.47,1,FL,NA,1,MI,Mobile invertivore,SECONDARY,Kulbicki Meiacanthus spp.
BRYA,Bryaninops sp.,Bryaninops sp,NA,Genus,Bryaninops,Gobiidae,Bryaninops sp.,Rare_Families,Goby,Y,6,0.0264,2.623,1,FL,NA,1,MI,Mobile invertivore,SECONDARY,Kulbicki Gobiidae average
CACE,Caesio caerulaurea,Caesio caerulaurea,NA,Species,Caesio,Caesionidae,Blue And Gold Fusilier,Fusilier,Fusilier,NA,35,0.01996,2.99141,0.86,FL,NA,0.86,Pk,Planktivore,PLANKTIVORE,Kulbicki 2005
CACU,Caesio cuning,Caesio cuning,NA,Species,Caesio,Caesionidae,Redbelly Yellowtail Fusilier,Fusilier,Fusilier,NA,24.3,0.01487,3.12133,0.86,FL,NA,0.86,Pk,Planktivore,PLANKTIVORE,Kulbicki 2005
CALN,Caesio lunaris,Caesio lunaris,NA,Species,Caesio,Caesionidae,Lunar Fusilier,Fusilier,Fusilier,NA,30,0.0195,3.0117,1,?,NA,NA,Pk,Planktivore,PLANKTIVORE,Added to database. LW from FB (Genus level).
CATE,Caesio teres,Caesio teres,NA,Species,Caesio,Caesionidae,Yellow And Blueback Fusilier,Fusilier,Fusilier,NA,40,0.0195,3.0117,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,FB value for genus
FUSI,Caesionidae,Caesionidae,NA,Family,Caesionidae,Caesionidae,Caesionidae,Fusilier,Fusilier,NA,31.5,0.0112,3,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,FB value for PTTI
DRAG,Callionymidae,Callionymidae,NA,Family,Callionymidae,Callionymidae,Callionymidae,Rare_Families,Dragonet,Y,10,0.0491,2.317,1,FL,NA,1,MI,Mobile invertivore,SECONDARY,Kulbicki Synchiropus spp.
CACA,Calotomus carolinus,Calotomus carolinus,NA,Species,Calotomus,Scaridae,Carolines Parrotfish,Parrotfish,Parrotfish,NA,54,0.0122,3.167,1,TL,1,NA,H,Herbivore,PRIMARY,FB
CAZO,Calotomus zonarchus,Calotomus zonarchus,NA,Species,Calotomus,Scaridae,Yellowbar Parrot,Parrotfish,Parrotfish,NA,30,0.0222,2.971,1,FL,1,1,H,Herbivore,PRIMARY,Kulbicki Scaridae mean
CADU,Cantherhines dumerilii,Cantherhines dumerilii,NA,Species,Cantherhines,Monacanthidae,Whitespotted Filefish,Rare_Families,Filefish,NA,38,0.0406,2.792,1,TL,1,NA,Om,Omnivore,SECONDARY,FB mean for family
CAPA,Cantherhines pardalis,Cantherhines pardalis,NA,Species,Cantherhines,Monacanthidae,Honeycomb Filefish,Rare_Families,Filefish,NA,25,0.017,3.07,1,TL,1,NA,H,Herbivore,PRIMARY,FB
CASA,Cantherhines sandwichiensis,Cantherhines sandwichiensis,NA,Species,Cantherhines,Monacanthidae,Sandwich Isle File,Rare_Families,Filefish,NA,20,0.007,3.262,1,FL,1,1,H,Herbivore,PRIMARY,Kulbicki Pseudolutarius nasicornis
CAVE,Cantherhines verecundus,Cantherhines verecundus,NA,Species,Cantherhines,Monacanthidae,Shy Filefish,Rare_Families,Filefish,NA,16,0.007,3.262,1,FL,NA,1,H,Herbivore,PRIMARY,Kulbicki Pseudolutarius nasicornis
CAMA,Canthidermis maculata,Canthidermis maculata,NA,Species,Canthidermis,Balistidae,Spotted Oceanic Triggerfish,Triggerfish,Triggerfish,NA,30,0.0284,2.9573,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,FB value for genus
CAAM,Canthigaster amboinensis,Canthigaster amboinensis,NA,Species,Canthigaster,Tetraodontidae,Spider-Eye Puffer,Rare_Families,Pufferfish,NA,14,0.0197,2.9174,1,TL,1,NA,H,Herbivore,PRIMARY,FB mean for genus
CAAX,Canthigaster axilogus,Canthigaster axilogus,NA,Species,Canthigaster,Tetraodontidae,Pacific Crown Toby,Rare_Families,Pufferfish,NA,10,0.0367,2.943,1,FL,NA,NA,H,Herbivore,PRIMARY,Kulbicki for Canthigaster valentini
CABE,Canthigaster bennetti,Canthigaster bennetti,NA,Species,Canthigaster,Tetraodontidae,Bennett's Sharpnose Puffer,Rare_Families,Pufferfish,NA,10,0.0424,2.822,1,FL,NA,1,H,Herbivore,PRIMARY,Kulbicki Canthigaster mean
CACO,Canthigaster coronata,Canthigaster coronata,NA,Species,Canthigaster,Tetraodontidae,Crowned Puffer,Rare_Families,Pufferfish,NA,14,0.0424,2.822,1,FL,NA,1,H,Herbivore,PRIMARY,Kulbicki Canthigaster mean
CAEP,Canthigaster epilampra,Canthigaster epilampra,NA,Species,Canthigaster,Tetraodontidae,Lantern Toby,Rare_Families,Pufferfish,NA,11,0.0424,2.822,1,FL,NA,1,H,Herbivore,PRIMARY,Kulbicki Canthigaster mean
CAJA,Canthigaster jactator,Canthigaster jactator,NA,Species,Canthigaster,Tetraodontidae,Hawaiian Whitespotted Toby,Rare_Families,Pufferfish,NA,9,0.0424,2.822,1,FL,NA,1,H,Herbivore,PRIMARY,Kulbicki Canthigaster mean
CAJN,Canthigaster janthinoptera,Canthigaster janthinoptera,NA,Species,Canthigaster,Tetraodontidae,Honeycomb Toby,Rare_Families,Pufferfish,NA,9,0.0424,2.822,1,FL,NA,1,H,Herbivore,PRIMARY,Kulbicki Canthigaster mean
CAPU,Canthigaster papua,Canthigaster papua,NA,Species,Canthigaster,Tetraodontidae,Papuan Toby,Rare_Families,Pufferfish,NA,10,0.0299,2.979,1,FL,NA,NA,H,Herbivore,PRIMARY,Kulbicki for Canthigaster solandri
CARI,Canthigaster rivulata,Canthigaster rivulata,NA,Species,Canthigaster,Tetraodontidae,Brown-Lined Puffer,Rare_Families,Pufferfish,NA,20,0.0424,2.822,1,FL,NA,1,H,Herbivore,PRIMARY,Kulbicki Canthigaster mean
CASO,Canthigaster solandri,Canthigaster solandri,NA,Species,Canthigaster,Tetraodontidae,Spotted Sharpnose,Rare_Families,Pufferfish,NA,11,0.02989,2.97881,1,FL,1,1,H,Herbivore,PRIMARY,Kulbicki 2005
CAVA,Canthigaster valentini,Canthigaster valentini,NA,Species,Canthigaster,Tetraodontidae,Valentin's Sharpnose Puffer,Rare_Families,Pufferfish,NA,9,0.03667,2.94319,1,FL,1,1,H,Herbivore,PRIMARY,Kulbicki 2005
CAMC,Caracanthus maculatus,Caracanthus maculatus,NA,Species,Caracanthus,Caracanthidae,Spotted Coral Croucher,Rare_Families,Velvetfish,Y,5,0.0337,3,1,TL,1,NA,MI,Mobile invertivore,SECONDARY,FB
CATY,Caracanthus typicus,Caracanthus typicus,NA,Species,Caracanthus,Caracanthidae,Hawaiian Orbicular Velvetfish,Rare_Families,Velvetfish,Y,2.9,0.0089,3.323,1,FL,NA,1,MI,Mobile invertivore,SECONDARY,Kulbicki Archamia fucata
CAUN,Caracanthus unipinna,Caracanthus unipinna,NA,Species,Caracanthus,Caracanthidae,Pygmy Coral Croucher,Rare_Families,Velvetfish,Y,5,0.0337,3,1,TL,NA,NA,MI,Mobile invertivore,SECONDARY,FB for Caracanthus maculatus
JACK,Carangidae,Carangidae,NA,Family,Carangidae,Carangidae,Carangidae,Jack,Jack,NA,160,0.00833,3.19724,0.89,FL,0.83,0.89,Pisc,Piscivore,PISCIVORE,Kulbicki 2005
CABA,Carangoides bajad,Carangoides bajad,NA,Species,Carangoides,Carangidae,Orangespotted Trevally,Jack,Jack,NA,55,0.0199,2.869,0.9242144,FL,NA,NA,Pisc,Piscivore,PISCIVORE,FB
CACR,Carangoides coeruleopinnatus,Carangoides coeruleopinnatus,NA,Species,Carangoides,Carangidae,Coastal Trevally,Jack,Jack,NA,40,0.03211,2.902,0.8787346,FL,NA,NA,Pisc,Piscivore,PISCIVORE,FB
CAFE,Carangoides ferdau,Carangoides ferdau,NA,Species,Carangoides,Carangidae,Blue Trevally,Jack,Jack,NA,70,0.03683,2.85116,0.86,FL,0.86,0.86,Pisc,Piscivore,PISCIVORE,Kulbicki 2005
CAFU,Carangoides fulvoguttatus,Carangoides fulvoguttatus,NA,Species,Carangoides,Carangidae,Yellowspotted Trevally,Jack,Jack,NA,120,0.0329,2.808,0.91,FL,NA,0.91,Pisc,Piscivore,PISCIVORE,"FishBase, Randall 2005"
CAOB,Carangoides oblongus,Carangoides oblongus,NA,Species,Carangoides,Carangidae,Coachwhip Trevally,Jack,Jack,NA,46,0.0361,2.812,0.821018,FL,NA,NA,Pisc,Piscivore,PISCIVORE,Kulbicki for Carangoides sp.
CAOR,Carangoides orthogrammus,Carangoides orthogrammus,NA,Species,Carangoides,Carangidae,Island Trevally,Jack,Jack,NA,70,0.01559,3.02562,0.89,FL,0.9,0.89,Pisc,Piscivore,PISCIVORE,Kulbicki 2005
CAIG,Caranx ignobilis,Caranx ignobilis,NA,Species,Caranx,Carangidae,Giant Trevally,Jack,Jack,NA,165,0.023,2.977,0.89,FL,0.87,0.89,Pisc,Piscivore,PISCIVORE,FB Northwestern Hawaii
CALU,Caranx lugubris,Caranx lugubris,NA,Species,Caranx,Carangidae,Black Jack,Jack,Jack,NA,100,0.0198,3.001,0.9,FL,0.83,0.9,Pisc,Piscivore,PISCIVORE,FB
CAME,Caranx melampygus,Caranx melampygus,NA,Species,Caranx,Carangidae,Bluefin Trevally,Jack,Jack,NA,117,0.02866,2.974,0.89,FL,0.89,0.92,Pisc,Piscivore,PISCIVORE,Kulbicki 2005
CAPP,Caranx papuensis,Caranx papuensis,NA,Species,Caranx,Carangidae,Brassy Trevally,Jack,Jack,NA,88,0.02354,2.923,0.8849558,FL,NA,0.88495575,Pisc,Piscivore,PISCIVORE,Kulbicki 2005
CASE,Caranx sexfasciatus,Caranx sexfasciatus,NA,Species,Caranx,Carangidae,Bigeye Trevally,Jack,Jack,NA,100,0.0198,2.986,0.91,FL,0.83,0.91,Pisc,Piscivore,PISCIVORE,Kulbicki 2005 - Caranx spp.
CASP,Caranx sp.,Caranx sp,NA,Genus,Caranx,Carangidae,Caranx sp.,Jack,Jack,NA,165,0.01983,2.98605,0.89,FL,NA,0.89,Pisc,Piscivore,PISCIVORE,Kulbicki 2005
SHAR,Carcharhinidae,Carcharhinidae,NA,Family,Carcharhinidae,Carcharhinidae,Carcharhinidae,Shark,Requiem,NA,500,0.00096,3.56556,0.84,FL,NA,0.84,Pisc,Piscivore,PISCIVORE,Kulbicki 2004ms Table 2
CAAL,Carcharhinus albimarginatus,Carcharhinus albimarginatus,NA,Species,Carcharhinus,Carcharhinidae,Silvertip Shark,Shark,Requiem,NA,300,5.00E-05,4.2678,0.85,FL,NA,0.85,Pisc,Piscivore,PISCIVORE,Kulbicki 2005
CAAB,Carcharhinus amblyrhynchos,Carcharhinus amblyrhynchos,NA,Species,Carcharhinus,Carcharhinidae,Grey Reef Shark,Shark,Requiem,NA,240,0.0023,3.373,0.85,FL,1,0.85,Pisc,Piscivore,PISCIVORE,Kulbicki et al Cybuim 2005
CAGA,Carcharhinus galapagensis,Carcharhinus galapagensis,NA,Species,Carcharhinus,Carcharhinidae,Galapagos Shark,Shark,Requiem,NA,370,0.0023,3.373,0.85,FL,1,0.85,Pisc,Piscivore,PISCIVORE,Kulbicki et al Cybuim 2005
CALI,Carcharhinus limbatus,Carcharhinus limbatus,NA,Species,Carcharhinus,Carcharhinidae,Blacktip Shark,Shark,Requiem,NA,275,0.00468,3.09,1,TL,NA,NA,Pisc,Piscivore,PISCIVORE,FB
CAML,Carcharhinus melanopterus,Carcharhinus melanopterus,NA,Species,Carcharhinus,Carcharhinidae,Blacktip Reef Shark,Shark,Requiem,NA,200,0.00136,3.34,1,TL,1,NA,Pisc,Piscivore,PISCIVORE,unknown
CEBC,Centropyge bicolor,Centropyge bicolor,NA,Species,Centropyge,Pomacanthidae,Bicolor Angelfish,Rare_Families,Angelfish,NA,15,0.0211,3,1,TL,1,NA,H,Herbivore,PRIMARY,FB
CEBI,Centropyge bispinosa,Centropyge bispinosa,NA,Species,Centropyge,Pomacanthidae,Twospined Angelfish,Rare_Families,Angelfish,NA,10,0.03787336,2.45798686,1,FL,1,1,H,Herbivore,PRIMARY,Kulbicki
CEFI,Centropyge fisheri,Centropyge fisheri,NA,Species,Centropyge,Pomacanthidae,Orange Angelfish,Rare_Families,Angelfish,NA,7.5,0.0745,2.577,1,FL,1,1,H,Herbivore,PRIMARY,Kulbicki Centropyge mean
CEFC,Centropyge flavicauda,Centropyge flavicauda,NA,Species,Centropyge,Pomacanthidae,Whitetail Angelfish,Rare_Families,Angelfish,NA,8,0.0745,2.577,1,FL,1,1,H,Herbivore,PRIMARY,Kulbicki Centropyge mean
CEFL,Centropyge flavissima,Centropyge flavissima,NA,Species,Centropyge,Pomacanthidae,Lemonpeel Angelfish,Rare_Families,Angelfish,NA,14,0.0314,2.7995,1,TL,1,NA,H,Herbivore,PRIMARY,FB mean for genus
CEFV,Centropyge flavissima x vroliki hybrid,Centropyge flavissima x vroliki hybrid,NA,Species,Centropyge,Pomacanthidae,Lemonpeel And Pearlscale Angelfish Hybrid,Rare_Families,Angelfish,NA,10.5,0.0745,2.577,1,FL,1,1,H,Herbivore,PRIMARY,Kulbicki Centropyge mean
CEHE,Centropyge heraldi,Centropyge heraldi,NA,Species,Centropyge,Pomacanthidae,Yellow Angelfish,Rare_Families,Angelfish,NA,10,0.0277,3,1,TL,1,NA,H,Herbivore,PRIMARY,FB
CEIN,Centropyge interrupta,Centropyge interrupta,Centropyge interruptus,Species,Centropyge,Pomacanthidae,Japanese Angelfish,Rare_Families,Angelfish,NA,16,0.0745,2.577,1,FL,NA,1,H,Herbivore,PRIMARY,Kulbicki Centropyge mean
CELO,Centropyge loricula,Centropyge loricula,NA,Species,Centropyge,Pomacanthidae,Flame Angel,Rare_Families,Angelfish,NA,10,0.0314,2.7995,1,TL,1,NA,H,Herbivore,PRIMARY,FB mean for genus
CEML,Centropyge multicolor,Centropyge multicolor,NA,Species,Centropyge,Pomacanthidae,Multicolor Angelfish,Rare_Families,Angelfish,NA,8,0.0745,2.577,1,FL,1,1,H,Herbivore,PRIMARY,Kulbicki Centropyge mean
CENO,Centropyge nox,Centropyge nox,NA,Species,Centropyge,Pomacanthidae,Midnight Angelfish,Rare_Families,Angelfish,NA,10,0.0492,2.795,1,FL,NA,NA,H,Herbivore,PRIMARY,Kulbicki for Centropyge tibicen
CEPO,Centropyge potteri,Centropyge potteri,NA,Species,Centropyge,Pomacanthidae,Russet Angelfish,Rare_Families,Angelfish,NA,12.7,0.0745,2.577,1,FL,1,1,H,Herbivore,PRIMARY,Kulbicki Centropyge mean
CESH,Centropyge shepardi,Centropyge shepardi,NA,Species,Centropyge,Pomacanthidae,Mango Angelfish,Rare_Families,Angelfish,NA,9,0.0745,2.577,1,FL,1,1,H,Herbivore,PRIMARY,Kulbicki Centropyge mean
CEPP,Centropyge sp.,Centropyge sp,NA,Genus,Centropyge,Pomacanthidae,Centropyge sp.,Rare_Families,Angelfish,NA,13.5,0.07448,2.57693,1,FL,1,1,H,Herbivore,PRIMARY,Kulbicki 2005
CETI,Centropyge tibicen,Centropyge tibicen,NA,Species,Centropyge,Pomacanthidae,Keyhole Angelfish,Rare_Families,Angelfish,NA,14,0.0492,2.795,1,FL,NA,NA,H,Herbivore,PRIMARY,Kulbicki 2005
CEVR,Centropyge vrolikii,Centropyge vrolikii,NA,Species,Centropyge,Pomacanthidae,Pearlscale Angelfish,Rare_Families,Angelfish,NA,12,0.0745,2.577,1,FL,NA,1,H,Herbivore,PRIMARY,Kulbicki Centropyge mean
CEAR,Cephalopholis argus,Cephalopholis argus,NA,Species,Cephalopholis,Serranidae,Peacock Hind,Grouper,Grouper,NA,60,0.00929,3.18074,1,FL,0.82,1,Pisc,Piscivore,PISCIVORE,Kulbicki 2005
CECY,Cephalopholis cyanostigma,Cephalopholis cyanostigma,NA,Species,Cephalopholis,Serranidae,Bluespotted Grouper,Grouper,Grouper,NA,40,0.0107,3.114,1,FL,NA,NA,Pk,Planktivore,PLANKTIVORE,Kulbicki for Cepholopholis miniata
CELE,Cephalopholis leopardus,Cephalopholis leopardus,NA,Species,Cephalopholis,Serranidae,Leopard Hind,Grouper,Grouper,NA,20,0.0149,3,1,TL,1,NA,Pisc,Piscivore,PISCIVORE,FB
CEMI,Cephalopholis miniata,Cephalopholis miniata,NA,Species,Cephalopholis,Serranidae,Coral Hind,Grouper,Grouper,NA,45,0.01066,3.1141,1,FL,0.8,1,Pisc,Piscivore,PISCIVORE,Kulbicki 2005
CEPL,Cephalopholis polleni,Cephalopholis polleni,NA,Species,Cephalopholis,Serranidae,Harlequin Hind,Grouper,Grouper,NA,43,0.0107,3.114,1,FL,NA,NA,Pk,Planktivore,PLANKTIVORE,Kulbicki for Cepholopholis miniata
CESX,Cephalopholis sexmaculata,Cephalopholis sexmaculata,NA,Species,Cephalopholis,Serranidae,Sixblotch Hind,Grouper,Grouper,NA,50,0.0164,3.0303,1,TL,1,NA,Pisc,Piscivore,PISCIVORE,FB mean for genus
CESO,Cephalopholis sonnerati,Cephalopholis sonnerati,NA,Species,Cephalopholis,Serranidae,Tomato Hind,Grouper,Grouper,NA,50,0.00661,3.27655,1,FL,0.82,1,Pisc,Piscivore,PISCIVORE,Kulbicki 2005
CESS,Cephalopholis sp.,Cephalopholis sp,NA,Genus,Cephalopholis,Serranidae,Cephalopholis sp.,Grouper,Grouper,NA,60,0.00929,3.18074,1,FL,0.82,1,Pisc,Piscivore,PISCIVORE,NA
CESP,Cephalopholis spiloparaea,Cephalopholis spiloparaea,NA,Species,Cephalopholis,Serranidae,Strawberry Hind,Grouper,Grouper,NA,30,0.0164,3.0303,1,TL,1,NA,Pisc,Piscivore,PISCIVORE,FB value for genus
CEUR,Cephalopholis urodeta,Cephalopholis urodeta,NA,Species,Cephalopholis,Serranidae,Darkfin Hind,Grouper,Grouper,NA,28,0.02822,2.81775,1,FL,0.81,1,Pisc,Piscivore,PISCIVORE,Kulbicki 2005
CEOC,Cetoscarus ocellatus,Cetoscarus ocellatus,Cetoscarus bicolor,Species,Cetoscarus,Scaridae,Bicolour Parrotfish,Parrotfish,Parrotfish,NA,90,0.0157,3,1,TL,1,NA,H,Herbivore,PRIMARY,FB
CHAD,Chaetodon adiergastos,Chaetodon adiergastos,NA,Species,Chaetodon,Chaetodontidae,Philippine Butterflyfish,Butterflyfish,Butterflyfish,NA,20,0.0278,2.973,1,FL,NA,NA,SI,Sessile invertivore,SECONDARY,Kulbicki for Chaetodon vagabundus
CHAU,Chaetodon auriga,Chaetodon auriga,NA,Species,Chaetodon,Chaetodontidae,Threadfin Butterflyfish,Butterflyfish,Butterflyfish,NA,23,0.0404,2.82943,1,FL,1,1,SI,Sessile invertivore,SECONDARY,Kulbicki 2005
CHBA,Chaetodon baronessa,Chaetodon baronessa,NA,Species,Chaetodon,Chaetodontidae,Eastern Triangular Butterflyfish,Butterflyfish,Butterflyfish,NA,16,0.0448,2.828,1,TL,NA,NA,Cor,Corallivore,SECONDARY,FB
CHBE,Chaetodon bennetti,Chaetodon bennetti,NA,Species,Chaetodon,Chaetodontidae,Bluelashed Butterflyfish,Butterflyfish,Butterflyfish,NA,18,0.03839,2.88508,1,FL,1,1,MI,Mobile invertivore,SECONDARY,Kulbicki 2005
CHCI,Chaetodon citrinellus,Chaetodon citrinellus,NA,Species,Chaetodon,Chaetodontidae,Speckled Butterflyfish,Butterflyfish,Butterflyfish,NA,13,0.0353,2.83414,1,FL,1,1,Cor,Corallivore,SECONDARY,Kulbicki 2005
CHDE,Chaetodon declivis,Chaetodon declivis,NA,Species,Chaetodon,Chaetodontidae,Marquesas Butterflyfish,Butterflyfish,Butterflyfish,NA,12,0.045,2.814,1,FL,1,1,Cor,Corallivore,SECONDARY,tinkeri value
CHDC,Chaetodon decussatus,Chaetodon decussatus,NA,Species,Chaetodon,Chaetodontidae,Indian Vagabond Butterflyfish,Butterflyfish,Butterflyfish,NA,20,0.02731,3,1,TL,NA,NA,Om,Omnivore,SECONDARY,FB
CHEP,Chaetodon ephippium,Chaetodon ephippium,NA,Species,Chaetodon,Chaetodontidae,Saddle Butterflyfish,Butterflyfish,Butterflyfish,NA,23,0.02249,3.06092,1,FL,1,1,MI,Mobile invertivore,SECONDARY,Kulbicki 2005
CHFL,Chaetodon flavocoronatus,Chaetodon flavocoronatus,NA,Species,Chaetodon,Chaetodontidae,Yellow-Crowned Butterflyfish,Butterflyfish,Butterflyfish,NA,12,0.045,2.814,1,FL,1,1,Cor,Corallivore,SECONDARY,tinkeri value
CHFR,Chaetodon fremblii,Chaetodon fremblii,NA,Species,Chaetodon,Chaetodontidae,Bluestriped Butterflyfish,Butterflyfish,Butterflyfish,NA,15,0.0296,2.9895,1,TL,1,NA,SI,Sessile invertivore,SECONDARY,FB value for genus
CHFV,Chaetodon flavirostris,Chaetodon flavirostris,NA,Species,Chaetodon,Chaetodontidae,Black butterflyfish,Butterflyfish,Butterflyfish,NA,20,0.02455,3.05,1,,,,Om,Omnivore,SECONDARY,
CHKL,Chaetodon kleinii,Chaetodon kleinii,NA,Species,Chaetodon,Chaetodontidae,Sunburst Butterflyfish,Butterflyfish,Butterflyfish,NA,14,0.0296,2.9895,1,TL,1,NA,Pk,Planktivore,PLANKTIVORE,FB value for genus
